SCHOOL ID,SCHOOL NAME,GRADE,YEAR,READ-WARNING,READ-NOTMEET,READ-MEET,READ-EXCEED,MATH-WARNING,MATH-NOTMEET,MATH-MEET,MATH-EXCEED
1501629900008,CRANE TECHNICAL PREP HIGH SCHOOL ,7,2006,.b,.b,.b,.b,.b,.b,.b,.b
1501629900008,CRANE TECHNICAL PREP COMMON HS          ,8,1997,.a,83,14,3,.a,43,54,3
1501629900008,CRANE TECHNICAL PREP COMMON HS          ,8,1998,.a,53,46,1,.a,40,60,0
1501629900008,CRANE TECHNICAL PREP COMMON HS   ,8,1999,2,47,48,3,10,79,11,0
1501629900008,CRANE TECHNICAL PREP COMMON HS   ,8,2000,0,34,61,5,7,81,10,2
1501629900008,CRANE TECHNICAL PREP COMMON HS   ,8,2001,0,58,42,0,9,82,9,0
1501629900008,CRANE TECHNICAL PREP COMMON HS   ,8,2002,0,48.3,51.7,0,10.3,79.3,10.3,0
1501629900008,CRANE TECHNICAL PREP HIGH SCHOOL ,8,2003,0,43.5,52.2,4.3,.b,.b,.b,.b
1501629900008,CRANE TECHNICAL PREP HIGH SCHOOL ,8,2004,0,33.3,63.6,3,6.1,54.5,39.4,0
1501629900008,CRANE TECHNICAL PREP HIGH SCHOOL ,8,2005,0,16.7,77.8,5.6,0,77.8,22.2,0
1501629900008,CRANE TECHNICAL PREP HIGH SCHOOL ,8,2006,0,18.8,81.3,0,0,43.8,56.3,0
1501629900015,GAGE PARK HIGH SCHOOL            ,8,2013,.b,.b,.b,.b,.b,.b,.b,.b
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,6,2014,.b,.b,.b,.b,.b,.b,.b,.b
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2006,0,2.2,87,10.9,0,2.2,71.7,26.1
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2007,0,0,66,34,0,0,59.6,40.4
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2008,0,0,80,20,0,3.3,80,16.7
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2009,.b,.b,0,0,56.8,20.7,0,0
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2010,0,4.5,77.3,18.2,0,4.5,77.3,18.2
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2011,0,5,65,30,0,5,75,20
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2012,0,7.1,64.3,28.6,0,7.1,64.3,28.6
1501629900016,HARLAN COMMUNITY ACADEMY HS      ,7,2014,.b,.b,.b,.b,.b,.b,.b,.b
